,x,y,z,label
120,-151.15,-27.4,0,F1
121,-146.65,-27.4,0,F2
122,-142.15,-27.4,0,F3
123,-137.65,-27.4,0,F4
124,-133.15,-27.4,0,F5
125,-128.65,-27.4,0,F6
126,-124.15,-27.4,0,F7
127,-119.65,-27.4,0,F8
128,-115.15,-27.4,0,F9
129,-110.65,-27.4,0,F10
130,-106.15,-27.4,0,F11
131,-101.65,-27.4,0,F12
132,-97.15,-27.4,0,F13
133,-92.65,-27.4,0,F14
134,-88.15,-27.4,0,F15
135,-83.65,-27.4,0,F16
136,-79.15,-27.4,0,F17
137,-74.65,-27.4,0,F18
138,-70.15,-27.4,0,F19
139,-65.65,-27.4,0,F20
140,-61.150000000000006,-27.4,0,F21
141,-56.650000000000006,-27.4,0,F22
142,-52.150000000000006,-27.4,0,F23
143,-47.650000000000006,-27.4,0,F24
144,-151.15,-31.9,0,G1
145,-146.65,-31.9,0,G2
146,-142.15,-31.9,0,G3
147,-137.65,-31.9,0,G4
148,-133.15,-31.9,0,G5
149,-128.65,-31.9,0,G6
150,-124.15,-31.9,0,G7
151,-119.65,-31.9,0,G8
152,-115.15,-31.9,0,G9
153,-110.65,-31.9,0,G10
154,-106.15,-31.9,0,G11
155,-101.65,-31.9,0,G12
156,-97.15,-31.9,0,G13
157,-92.65,-31.9,0,G14
158,-88.15,-31.9,0,G15
159,-83.65,-31.9,0,G16
160,-79.15,-31.9,0,G17
161,-74.65,-31.9,0,G18
162,-70.15,-31.9,0,G19
163,-65.65,-31.9,0,G20
164,-61.150000000000006,-31.9,0,G21
165,-56.650000000000006,-31.9,0,G22
166,-52.150000000000006,-31.9,0,G23
167,-47.650000000000006,-31.9,0,G24
168,-151.15,-36.4,0,H1
169,-146.65,-36.4,0,H2
170,-142.15,-36.4,0,H3
171,-137.65,-36.4,0,H4
172,-133.15,-36.4,0,H5
173,-128.65,-36.4,0,H6
174,-124.15,-36.4,0,H7
175,-119.65,-36.4,0,H8
176,-115.15,-36.4,0,H9
177,-110.65,-36.4,0,H10
178,-106.15,-36.4,0,H11
179,-101.65,-36.4,0,H12
180,-97.15,-36.4,0,H13
181,-92.65,-36.4,0,H14
182,-88.15,-36.4,0,H15
183,-83.65,-36.4,0,H16
184,-79.15,-36.4,0,H17
185,-74.65,-36.4,0,H18
186,-70.15,-36.4,0,H19
187,-65.65,-36.4,0,H20
188,-61.150000000000006,-36.4,0,H21
189,-56.650000000000006,-36.4,0,H22
190,-52.150000000000006,-36.4,0,H23
191,-47.650000000000006,-36.4,0,H24
192,-151.15,-40.9,0,I1
193,-146.65,-40.9,0,I2
194,-142.15,-40.9,0,I3
195,-137.65,-40.9,0,I4
196,-133.15,-40.9,0,I5
197,-128.65,-40.9,0,I6
198,-124.15,-40.9,0,I7
199,-119.65,-40.9,0,I8
200,-115.15,-40.9,0,I9
201,-110.65,-40.9,0,I10
202,-106.15,-40.9,0,I11
203,-101.65,-40.9,0,I12
204,-97.15,-40.9,0,I13
205,-92.65,-40.9,0,I14
206,-88.15,-40.9,0,I15
207,-83.65,-40.9,0,I16
208,-79.15,-40.9,0,I17
209,-74.65,-40.9,0,I18
210,-70.15,-40.9,0,I19
211,-65.65,-40.9,0,I20
212,-61.150000000000006,-40.9,0,I21
213,-56.650000000000006,-40.9,0,I22
214,-52.150000000000006,-40.9,0,I23
215,-47.650000000000006,-40.9,0,I24
216,-151.15,-45.4,0,J1
217,-146.65,-45.4,0,J2
218,-142.15,-45.4,0,J3
219,-137.65,-45.4,0,J4
220,-133.15,-45.4,0,J5
221,-128.65,-45.4,0,J6
222,-124.15,-45.4,0,J7
223,-119.65,-45.4,0,J8
224,-115.15,-45.4,0,J9
225,-110.65,-45.4,0,J10
226,-106.15,-45.4,0,J11
227,-101.65,-45.4,0,J12
228,-97.15,-45.4,0,J13
229,-92.65,-45.4,0,J14
230,-88.15,-45.4,0,J15
231,-83.65,-45.4,0,J16
232,-79.15,-45.4,0,J17
233,-74.65,-45.4,0,J18
234,-70.15,-45.4,0,J19
235,-65.65,-45.4,0,J20
236,-61.150000000000006,-45.4,0,J21
237,-56.650000000000006,-45.4,0,J22
238,-52.150000000000006,-45.4,0,J23
239,-47.650000000000006,-45.4,0,J24
240,-151.15,-49.9,0,K1
241,-146.65,-49.9,0,K2
242,-142.15,-49.9,0,K3
243,-137.65,-49.9,0,K4
244,-133.15,-49.9,0,K5
245,-128.65,-49.9,0,K6
246,-124.15,-49.9,0,K7
247,-119.65,-49.9,0,K8
248,-115.15,-49.9,0,K9
249,-110.65,-49.9,0,K10
250,-106.15,-49.9,0,K11
251,-101.65,-49.9,0,K12
252,-97.15,-49.9,0,K13
253,-92.65,-49.9,0,K14
254,-88.15,-49.9,0,K15
255,-83.65,-49.9,0,K16
256,-79.15,-49.9,0,K17
257,-74.65,-49.9,0,K18
258,-70.15,-49.9,0,K19
259,-65.65,-49.9,0,K20
260,-61.150000000000006,-49.9,0,K21
261,-56.650000000000006,-49.9,0,K22
262,-52.150000000000006,-49.9,0,K23
263,-47.650000000000006,-49.9,0,K24
264,-151.15,-54.4,0,L1
265,-146.65,-54.4,0,L2
266,-142.15,-54.4,0,L3
267,-137.65,-54.4,0,L4
268,-133.15,-54.4,0,L5
269,-128.65,-54.4,0,L6
270,-124.15,-54.4,0,L7
271,-119.65,-54.4,0,L8
272,-115.15,-54.4,0,L9
273,-110.65,-54.4,0,L10
274,-106.15,-54.4,0,L11
275,-101.65,-54.4,0,L12
276,-97.15,-54.4,0,L13
277,-92.65,-54.4,0,L14
278,-88.15,-54.4,0,L15
279,-83.65,-54.4,0,L16
280,-79.15,-54.4,0,L17
281,-74.65,-54.4,0,L18
282,-70.15,-54.4,0,L19
283,-65.65,-54.4,0,L20
284,-61.150000000000006,-54.4,0,L21
285,-56.650000000000006,-54.4,0,L22
286,-52.150000000000006,-54.4,0,L23
287,-47.650000000000006,-54.4,0,L24
288,-151.15,-58.9,0,M1
289,-146.65,-58.9,0,M2
290,-142.15,-58.9,0,M3
291,-137.65,-58.9,0,M4
292,-133.15,-58.9,0,M5
293,-128.65,-58.9,0,M6
294,-124.15,-58.9,0,M7
295,-119.65,-58.9,0,M8
296,-115.15,-58.9,0,M9
297,-110.65,-58.9,0,M10
298,-106.15,-58.9,0,M11
299,-101.65,-58.9,0,M12
300,-97.15,-58.9,0,M13
301,-92.65,-58.9,0,M14
302,-88.15,-58.9,0,M15
303,-83.65,-58.9,0,M16
304,-79.15,-58.9,0,M17
305,-74.65,-58.9,0,M18
306,-70.15,-58.9,0,M19
307,-65.65,-58.9,0,M20
308,-61.150000000000006,-58.9,0,M21
309,-56.650000000000006,-58.9,0,M22
310,-52.150000000000006,-58.9,0,M23
311,-47.650000000000006,-58.9,0,M24
312,-151.15,-63.4,0,N1
313,-146.65,-63.4,0,N2
314,-142.15,-63.4,0,N3
315,-137.65,-63.4,0,N4
316,-133.15,-63.4,0,N5
317,-128.65,-63.4,0,N6
318,-124.15,-63.4,0,N7
319,-119.65,-63.4,0,N8
320,-115.15,-63.4,0,N9
321,-110.65,-63.4,0,N10
322,-106.15,-63.4,0,N11
323,-101.65,-63.4,0,N12
324,-97.15,-63.4,0,N13
325,-92.65,-63.4,0,N14
326,-88.15,-63.4,0,N15
327,-83.65,-63.4,0,N16
328,-79.15,-63.4,0,N17
329,-74.65,-63.4,0,N18
330,-70.15,-63.4,0,N19
331,-65.65,-63.4,0,N20
332,-61.150000000000006,-63.4,0,N21
333,-56.650000000000006,-63.4,0,N22
334,-52.150000000000006,-63.4,0,N23
335,-47.650000000000006,-63.4,0,N24
336,-151.15,-67.9,0,O1
337,-146.65,-67.9,0,O2
338,-142.15,-67.9,0,O3
339,-137.65,-67.9,0,O4
340,-133.15,-67.9,0,O5
341,-128.65,-67.9,0,O6
342,-124.15,-67.9,0,O7
343,-119.65,-67.9,0,O8
344,-115.15,-67.9,0,O9
345,-110.65,-67.9,0,O10
346,-106.15,-67.9,0,O11
347,-101.65,-67.9,0,O12
348,-97.15,-67.9,0,O13
349,-92.65,-67.9,0,O14
350,-88.15,-67.9,0,O15
351,-83.65,-67.9,0,O16
352,-79.15,-67.9,0,O17
353,-74.65,-67.9,0,O18
354,-70.15,-67.9,0,O19
355,-65.65,-67.9,0,O20
356,-61.150000000000006,-67.9,0,O21
357,-56.650000000000006,-67.9,0,O22
358,-52.150000000000006,-67.9,0,O23
359,-47.650000000000006,-67.9,0,O24
360,-151.15,-72.4,0,P1
361,-146.65,-72.4,0,P2
362,-142.15,-72.4,0,P3
363,-137.65,-72.4,0,P4
364,-133.15,-72.4,0,P5
365,-128.65,-72.4,0,P6
366,-124.15,-72.4,0,P7
367,-119.65,-72.4,0,P8
368,-115.15,-72.4,0,P9
369,-110.65,-72.4,0,P10
370,-106.15,-72.4,0,P11
371,-101.65,-72.4,0,P12
372,-97.15,-72.4,0,P13
373,-92.65,-72.4,0,P14
374,-88.15,-72.4,0,P15
375,-83.65,-72.4,0,P16
376,-79.15,-72.4,0,P17
377,-74.65,-72.4,0,P18
378,-70.15,-72.4,0,P19
379,-65.65,-72.4,0,P20
380,-61.150000000000006,-72.4,0,P21
381,-56.650000000000006,-72.4,0,P22
382,-52.150000000000006,-72.4,0,P23
383,-47.650000000000006,-72.4,0,P24
